id,text,text_clean,department,source
1,The bridge near IRC Village has damaged railings. It is very unsafe.,bridge irc village damage railing unsafe,Roads,synthetic
2,Manhole cover near Bomikhal is broken and open. Very dangerous especially at night.,manhole cover bomikhal break open dangerous especially night,Sanitation,synthetic
3,"A water pipeline near Chandrasekharpur is leaking heavily, causing road damage too.",water pipeline chandrasekharpur leak heavily cause road damage,Water,synthetic
4,"Garbage van in Jaydev Vihar colony is coming only every 3 days, waste is building up.",garbage van jaydev vihar colony come day waste build,Sanitation,synthetic
5,Wrong side driving near IRC Village is rampant. No enforcement whatsoever.,wrong drive irc village rampant no enforcement whatsoever,Traffic,synthetic
6,There is a leaking water main near Bomikhal chowk. Please fix urgently.,leak water main bomikhal chowk fix urgently,Water,synthetic
7,Power supply restored after 8 hours but now going off again near Barmunda. this needs to be fixed immediately.,power supply restore hour go barmunda need fix immediately,Electricity,synthetic
8,There is a leaking water main near Vani Vihar colony. Please fix urgently.,leak water main vani vihar colony fix urgently,Water,synthetic
9,Street lights in Rasulgarh are on during daytime and off at night for over a week.,street light rasulgarh daytime night week,Electricity,synthetic
10,Power cuts in Aiginia are lasting more than 6 hours daily still not fixed. urgent attention required.,power cut aiginia last hour daily not fix urgent attention require,Electricity,synthetic
11,Three-wheeler goods vehicles parked on footpath near Puri blocking pedestrians.,wheeler good vehicle park footpath puri block pedestrian,Traffic,synthetic
12,The electric pole near Sambalpur has a loose wire hanging dangerously.,electric pole sambalpur loose wire hang dangerously,Electricity,synthetic
13,Loose garbage and plastic near Bomikhal is blocking the roadside drain.,loose garbage plastic bomikhal block roadside drain,Sanitation,synthetic
14,The road in Brahmapur colony has completely broken down after the monsoon. please take immediate action.,road brahmapur colony completely break monsoon,Roads,synthetic
15,Broken street light near Khandagiri school is causing safety concern for students.,broken street light khandagiri school cause safety concern student,Electricity,synthetic
16,The pedestrian signal near Master Canteen Square is not working repeatedly. Pedestrians at risk.,pedestrian signal master canteen square not work repeatedly pedestrian risk,Traffic,synthetic
17,Encroachment on road near IRC Village has reduced it to one lane causing traffic.,encroachment road irc village reduce lane cause traffic,Traffic,synthetic
18,Electricity transformer near Jaydev Vihar has broken down since last month. Whole street affected.,electricity transformer jaydev vihar break month street affect,Electricity,synthetic
