id,text,department,source
1,The bridge near IRC Village has damaged railings. It is very unsafe.,Roads,synthetic
2,Manhole cover near Bomikhal is broken and open. Very dangerous especially at night.,Sanitation,synthetic
3,"A water pipeline near Chandrasekharpur is leaking heavily, causing road damage too.",Water,synthetic
4,"Garbage van in Jaydev Vihar colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
5,Wrong side driving near IRC Village is rampant. No enforcement whatsoever.,Traffic,synthetic
6,There is a leaking water main near Bomikhal chowk. Please fix urgently.,Water,synthetic
7,Power supply restored after 8 hours but now going off again near Barmunda. this needs to be fixed immediately.,Electricity,synthetic
8,There is a leaking water main near Vani Vihar colony. Please fix urgently.,Water,synthetic
9,Street lights in Rasulgarh are on during daytime and off at night for over a week.,Electricity,synthetic
10,Power cuts in Aiginia are lasting more than 6 hours daily still not fixed. urgent attention required.,Electricity,synthetic
11,Three-wheeler goods vehicles parked on footpath near Puri blocking pedestrians.,Traffic,synthetic
12,The electric pole near Sambalpur has a loose wire hanging dangerously.,Electricity,synthetic
13,Loose garbage and plastic near Bomikhal is blocking the roadside drain.,Sanitation,synthetic
14,The road in Brahmapur colony has completely broken down after the monsoon. please take immediate action.,Roads,synthetic
15,Broken street light near Khandagiri school is causing safety concern for students.,Electricity,synthetic
16,The pedestrian signal near Master Canteen Square is not working repeatedly. Pedestrians at risk.,Traffic,synthetic
17,Encroachment on road near IRC Village has reduced it to one lane causing traffic.,Traffic,synthetic
18,Electricity transformer near Jaydev Vihar has broken down since last month. Whole street affected.,Electricity,synthetic
19,The road in IRC Village colony has completely broken down after the monsoon. the whole locality is inconvenienced.,Roads,synthetic
20,The electric connection to Sambalpur community hall has been disconnected wrongly.,Electricity,synthetic
21,"Garbage van in Jaydev Vihar colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
22,Potholes on the road to Nayapalli have still not been filled for more than a week. urgent attention required.,Roads,synthetic
23,We have not received water supply in IRC Village repeatedly. the situation is getting worse daily.,Water,synthetic
